	PER403_dmso_1	PER403_dmso_2	PER403_gne_1	PER403_gne_2	PER403_neo_1	PER403_neo_2	PER403_otx_1	PER403_otx_2	PER403_otx_gne_1	PER403_otx_gne_2	TC797_dmso_1	TC797_dmso_2	TC797_gne_1	TC797_gne_2	TC797_neo_1	TC797_neo_2	TC797_otx_1	TC797_otx_2	TC797_otx_gne_1	TC797_otx_gne_2	
ENSG00000225972.1	MTND1P23	6.981201025	7.012426073	6.934158765	7.021060171	7.286977349	7.265634322	4.417817143	7.300547076	7.02477005	7.028162518	7.444465075	7.145243609	7.081915371	0.740515949	7.273711254	7.868182858	6.286529207	7.707262374	7.192724624	7.612088701
ENSG00000225630.1	MTND2P28	6.853783478	6.959899545	6.095559398	5.836314235	6.827787869	6.877342113	0.177260177	6.848822663	5.824879996	6.74897694	7.028932798	5.69823585	6.67454148	-6.739116756	7.260268288	6.747602081	3.525954017	7.115277901	6.655432647	6.160512511
ENSG00000237973.1	MTCO1P12	9.51742903	9.873343527	9.635484471	9.833307997	9.833554251	9.920802742	7.28620507	9.86954765	9.606825636	9.79063954	10.23361367	10.00989179	10.11226906	1.99453741	10.14991443	10.46027913	9.093953673	10.34954338	10.05241625	10.12516374
ENSG00000278791.1	AC114498.2	1.895874279	2.734325432	1.33821253	2.256560284	2.06582483	1.929109178	0.783189263	2.609724914	1.470121875	2.514001224	1.684621007	1.120312735	1.380608722	-0.471138993	1.492085598	2.111467383	1.708578536	1.709923666	1.999122551	1.921152984
ENSG00000229344.1	MTCO2P12	0.329840616	0.835741303	0.671513973	-0.139401051	0.087850048	0.317526665	-1.24298149	0.211563127	-0.014098481	0.41667126	0.833211672	0.486329955	0.407655837	-6.739116756	0.595776188	1.331893783	0.269885463	0.922386355	0.830025613	0.636787991
ENSG00000248527.1	MTATP6P1	9.543663478	9.676704566	9.330464932	9.153921769	10.00267328	9.765754199	4.778918201	9.73280091	9.1728031	9.720998933	9.866003203	8.981282175	9.247032138	1.905943308	9.867855138	9.952113241	7.651913471	9.938598961	9.568476144	9.598838462
ENSG00000228327.3	AL669831.1	0.670453557	0.953788293	1.068015205	0.32594631	0.037677735	0.096939298	0.450815963	0.296619977	0.583901701	0.574314728	0.326229173	0.525597743	0.172433494	1.421957252	-0.563021614	0.410714675	0.618933973	-0.369762947	-0.132338696	-0.004674067
ENSG00000237491.9	AL669831.5	0.398053513	1.131314568	0.60480349	0.365183455	0.512009308	0.136126338	-0.478754467	0.984302907	0.839587764	1.009345907	1.032527379	0.31760951	0.683407073	-2.019137432	-0.135244221	0.711354147	0.80075076	0.301750133	0.799163858	-0.004674067
ENSG00000228794.8	LINC01128	3.418094599	3.487978269	3.374805686	3.384904981	3.81797621	3.901077428	3.725715381	3.508171232	3.347921436	3.585005668	3.203227119	3.172417028	2.954700714	3.402066682	3.728973192	3.816515869	3.440823018	3.35096995	3.176205223	3.514615597
ENSG00000225880.5	LINC00115	-0.267263136	-0.284583948	-0.455850282	0.111954322	-0.851428704	-1.148524077	-0.364725662	-0.151847007	-0.442292559	0.037863242	0.039114334	-0.585397594	-0.62596154	1.657263627	-1.069069205	-0.67725692	0.057551697	-0.8108902	-1.004390313	-0.614137364
ENSG00000223764.2	LINC02593	-1.539268882	-2.236059162	-0.77315492	-1.494306576	-2.388462047	-3.355407265	-2.211365586	-1.782664082	-2.692625945	-1.654658544	-1.114473664	-1.485034699	-1.291582358	0.740515949	-3.715708977	-2.822560825	-1.558988659	-4.050958141	-2.340192332	-4.257275391
ENSG00000187634.12	SAMD11	-0.435157853	0.409514924	0.383890383	1.105692383	-0.515530844	-0.971478382	-0.420613771	-0.638787168	-0.124039187	0.276846031	1.005684892	0.898955321	2.056734291	4.018645759	-0.303316366	-0.099511099	0.657176684	0.177214931	0.278993414	0.596394148
ENSG00000188976.11	NOC2L	8.306535402	8.208197358	8.028986235	7.959843546	8.029735597	7.949012924	8.861073592	7.92282041	7.928173294	7.827174488	8.153713181	8.350996825	7.829344119	9.647666082	7.786327632	7.823765075	8.299304075	7.822193192	7.756977553	7.967485141
ENSG00000187961.14	KLHL17	4.823067486	4.776180067	4.226667529	4.30828	3.311223826	2.881948764	4.344269072	3.785794707	4.066740489	3.98953258	4.473754465	4.149843471	3.776095717	5.217739738	2.247552971	3.2024559	3.489325718	3.047274203	3.545101627	3.520024668
ENSG00000187583.10	PLEKHN1	4.423612286	4.690916333	3.526678582	3.468355614	3.311223826	3.050388669	4.466772075	3.712877632	3.363282601	3.420307384	3.815014391	3.712903876	2.344391267	4.484079456	1.826691843	2.111467383	3.260051195	2.528311416	2.270621329	2.242367715
ENSG00000272512.1	AL645608.7	1.2708916	1.404422104	1.253647318	1.259383739	2.862819397	2.553258552	3.04309998	2.50042086	1.177490989	1.136158148	1.78274768	1.650889172	1.358321949	2.971172505	2.790399514	3.664619276	3.525954017	2.926735253	2.259328054	2.189036156
ENSG00000188290.10	HES4	4.537624248	4.741035779	4.152704912	4.340630403	6.324491074	6.153522717	6.513676852	5.574820723	4.620872419	4.670781777	4.285735755	4.467214159	3.716016672	6.190855074	6.299090346	6.357205615	6.275815471	5.894605429	5.287756293	5.300843997
ENSG00000187608.9	ISG15	5.330345565	5.102276753	4.792780128	4.893854014	6.085355237	6.063009827	6.501511288	5.493835207	5.071022785	5.080000626	4.101532367	4.514337513	4.211754855	6.685906271	5.463771631	5.491108691	5.416391132	4.998533714	4.610447437	4.760145666
ENSG00000188157.15	AGRN	9.034331692	9.260181494	9.060029019	9.176586771	9.553211535	9.446341168	10.42142325	9.437057749	9.27185279	9.246842679	9.09779444	9.338626461	9.06892475	11.25713219	9.517962105	9.629675808	10.09039724	9.544617625	9.36348457	9.507592732
ENSG00000217801.10	AL390719.1	-0.767395639	-0.19808908	0.024274388	0.738287782	2.467476877	2.3763662	1.461410668	1.460423515	1.154129897	1.492854616	-0.189927129	-0.861169796	0.066439818	1.252662136	1.785382801	2.37887079	1.13474386	0.668507824	1.462553039	0.988535508
ENSG00000237330.3	RNF223	-1.672852513	-1.456232526	-1.437444698	-0.66331968	2.220007132	2.61697409	1.398205686	1.130483522	-0.014098481	0.544134047	-4.409071396	-1.836843856	-2.258895429	-1.235436137	1.591301167	1.764396166	0.962197206	0.668507824	0.365801374	-0.277458918
ENSG00000131591.17	C1orf159	4.782173265	4.859208234	4.494196412	4.225413775	3.427814327	3.224116235	4.833692341	3.961049714	4.124976243	4.138367508	4.577650081	4.617895027	4.135173328	5.726210185	3.300901259	3.587509929	4.048934393	3.552431158	3.898082562	3.855688966
ENSG00000198976.1	MIR429	-2.381393114	-2.63004312	-6.739116756	-2.456751855	-2.388462047	-2.975345777	-0.310922085	-1.670765593	-1.424058048	-1.654658544	-3.560175384	-2.303101005	-2.564753647	0.328170321	-6.739116756	-2.822560825	-0.670788417	-1.920239905	-1.87443784	-2.855662153
ENSG00000272141.1	AL390719.2	1.860046188	2.209588873	2.064790805	1.749142763	1.507266323	1.029486849	2.832126326	2.375650057	1.975636786	2.070934208	1.874623079	0.806328666	1.312688168	3.183929827	0.530603423	1.923458308	2.490527777	1.664253138	1.999122551	1.854208585
ENSG00000186891.14	TNFRSF18	1.693605061	1.768928925	1.068015205	1.472011478	0.717196914	1.277465146	2.070305683	1.345355204	1.031289196	0.894427661	0.922024131	0.837869631	0.450425093	3.024747613	0.496878672	0.503188988	1.312996271	0.714045963	-0.07403723	-0.004674067
