	PER403_dmso_1	PER403_dmso_2	PER403_gne_1	PER403_gne_2	PER403_neo_1	PER403_neo_2	PER403_otx_1	PER403_otx_2	PER403_otx_gne_1	PER403_otx_gne_2	TC797_dmso_1	TC797_dmso_2	TC797_gne_1	TC797_gne_2	TC797_neo_1	TC797_neo_2	TC797_otx_1	TC797_otx_2	TC797_otx_gne_1	TC797_otx_gne_2	
ENSG00000078808.16	SDF4	7.401933375	7.403719521	7.183096319	7.278757156	7.068174268	7.123272093	8.007173266	7.171841779	7.117520733	7.061838015	7.231838552	7.509236224	7.039648013	9.209757489	6.842430644	6.833597326	7.375514216	6.923858485	6.952677454	7.154343993
ENSG00000176022.6	B3GALT6	5.426363236	5.504912836	5.046337284	5.146996232	4.719455376	4.639387067	5.312141945	4.72264555	4.989226142	4.940695236	5.173772015	5.407712638	5.009888909	6.602913733	4.410743766	4.259205934	4.496655196	4.477885219	4.698792469	4.734782718
ENSG00000184163.3	C1QTNF12	-0.070053107	0.103811476	-1.180519433	-0.085504305	0.087850048	-0.211959912	0.419326659	-0.537144592	-0.949022704	-1.083939683	-0.129168617	0.672780812	0.271170034	2.078004392	-0.135244221	0.149710686	0.365377956	-0.573531626	-0.132338696	0.422459543
ENSG00000260179.1	AL162741.1	-1.539268882	-1.101920883	-1.180519433	-1.992665019	-3.079039719	-3.355407265	-0.968525487	-1.670765593	-2.137064024	-1.521025724	-1.51979703	-1.20241797	-1.792056067	0.976329907	-3.191137856	-2.822560825	-1.960822615	-2.229445521	-1.374796981	-1.690239808
ENSG00000160087.20	UBE2J2	6.142846795	6.043372215	6.192447552	6.214838436	6.056512188	5.945906924	6.425291075	5.957681124	6.169512214	6.039803242	5.877657632	6.05764188	5.869960722	6.759650837	5.787819098	5.94814696	6.00634944	5.837882649	5.98913162	5.96318649
ENSG00000230415.1	LINC01786	-0.435157853	-0.474880934	-0.77315492	-0.922082744	-1.923381629	-2.674817674	-0.364725662	-0.866460345	-0.372777317	-0.41664356	-0.798405601	-2.051217934	-0.62596154	1.178959826	-2.254168091	-1.302738688	-1.393491829	-1.261464588	-1.687995787	-1.905386721
ENSG00000162572.20	SCNN1D	1.823305629	2.077115059	2.250812603	2.159460247	1.331008096	0.447828533	2.19641324	1.644750725	1.821051471	2.112662544	1.615287527	1.356410372	1.567063318	3.426157964	-0.189121642	0.547294336	1.555010415	1.034326552	1.002496935	0.751596921
ENSG00000131584.19	ACAP3	5.487325298	5.572599443	5.348567919	5.420482676	6.300091211	5.918072508	6.730044953	5.962027577	5.669817962	5.791069048	5.069086592	4.884618201	4.944070667	7.111886074	5.54026421	6.173296155	6.258039756	5.56716134	5.714126494	5.544576613
ENSG00000169972.12	PUSL1	4.505130072	4.440960424	4.175869134	4.272610216	4.643910514	4.482891401	5.171561535	4.277582875	4.130971772	4.115459173	4.310622427	4.528904375	3.904693613	5.750264806	4.314806402	4.342917507	4.517593511	4.090286931	4.222739609	4.233656115
ENSG00000127054.20	INTS11	6.624308676	6.544506262	6.470517029	6.26432361	6.495123745	6.216009112	7.211189438	6.371167118	6.408529614	6.341267152	6.604316869	6.564262688	6.3226001	7.722375314	6.238521211	6.5216819	6.774192167	6.308658805	6.395974501	6.413232777
ENSG00000240731.1	AL139287.1	0.802159329	0.794143665	0.735275605	0.738287782	0.272722072	0.317526665	1.113419412	0.701993184	1.031289196	0.918155296	1.384728398	0.672780812	0.318114704	0.790863266	-0.245089431	0.672054881	0.931320995	0.040905317	0.947266146	0.82335537
ENSG00000224051.7	CPTP	4.827712317	4.851624192	4.792780128	4.707966077	4.957320856	4.930189311	5.622381703	4.619115509	4.689510099	4.628258098	4.708250966	4.979585581	4.505924199	6.294824518	4.74112263	4.791033013	4.908904069	4.711929504	4.494831109	4.805147893
ENSG00000107404.20	DVL1	6.507099069	6.512800617	6.125612559	6.091580129	6.041473736	5.807115271	7.086737336	6.202334498	6.128896394	5.96773331	6.260593365	6.501022479	5.774304461	7.573483631	5.63050714	5.768837092	6.332303664	5.99024777	5.764921963	5.96318649
ENSG00000175756.13	AURKAIP1	6.458510751	6.323835581	6.388614728	6.45540542	6.287399332	6.348082463	7.328404583	6.246653474	6.436030633	6.277343821	6.119839859	6.354702712	6.183745835	8.347949792	6.03474435	6.11129174	6.43904861	6.014337532	6.089792082	6.251118626
ENSG00000221978.12	CCNL2	6.739296093	6.968106075	6.427736746	6.606824852	6.6298117	6.344427184	6.600911715	6.837926344	6.391149462	6.729412154	6.641845361	6.413453513	6.38180357	7.332406709	5.965539979	6.632036879	6.628412271	6.408986882	6.549893977	6.419758464
ENSG00000224870.6	MRPL20-AS1	4.547043716	4.503598029	4.248682905	4.173861266	4.347052242	4.337064361	5.286191883	4.449947049	4.262409399	4.311850519	4.32154685	4.578760403	4.108715349	5.780169301	4.180512503	4.131024526	4.637216806	4.378864169	4.043426136	4.323012066
ENSG00000242485.6	MRPL20	6.780208455	6.4803825	6.383649031	6.352996531	6.070615981	6.095059614	6.509477294	6.161815841	6.229417483	6.175197245	6.500591555	6.613501418	6.211208119	6.792455724	5.887977493	5.946089219	6.274278422	6.031301514	6.067302838	6.127229217
ENSG00000272455.1	AL391244.2	2.94625026	3.022462636	1.851182388	1.821458314	1.351689966	1.110424388	2.427646285	2.127395905	1.821051471	1.99487303	2.986972685	2.7350268	1.358321949	3.970311143	0.496878672	1.280558554	2.38053557	1.754192683	1.33925644	1.164627699
ENSG00000235098.8	ANKRD65	5.910095235	5.885214275	4.773927512	4.814571819	2.06582483	2.077406025	4.917786137	4.300074097	4.203886363	4.216994067	5.679615963	5.785746569	4.550837823	6.480754142	1.309870185	1.306454488	3.222286587	2.836963922	3.050810157	3.173893755
ENSG00000179403.12	VWA1	6.078047281	6.222614336	5.851270565	5.875057705	6.054936555	6.130057071	6.954995094	6.059558289	5.808139513	5.827548668	5.674299219	5.979371541	5.474882047	7.414982244	5.717267669	5.686184041	6.091728857	5.794821082	5.438056354	5.772414815
ENSG00000215915.9	ATAD3C	0.258241751	0.294884764	0.215258538	0.157367436	0.436572278	0.852567133	1.315094636	1.018091476	0.037881794	0.544134047	-0.620599276	-0.284407953	0.010372089	1.882917818	-0.427333042	-0.319493947	0.867512521	0.040905317	-0.542450435	-0.354552328
ENSG00000160072.19	ATAD3B	6.593275083	6.581655582	5.981869019	5.922684803	5.785306447	5.498652905	6.700057941	5.906732413	5.965720369	5.776539491	6.233375251	6.139022618	5.485203325	7.263322305	4.954929404	5.356595917	5.927380983	5.328177583	5.51604247	5.393637356
ENSG00000197785.13	ATAD3A	6.614934138	6.691940491	6.135984988	6.114068618	5.954570602	5.919477057	7.09049084	5.99156013	5.915371553	5.898597743	6.390773286	6.678096145	5.729424793	7.885476269	5.503586579	5.565376503	6.281182284	5.759964675	5.590028295	5.873066694
ENSG00000205090.9	TMEM240	-0.070053107	0.034050385	-0.320031695	-0.377707105	-1.572240343	-1.46298675	-0.310922085	-0.537144592	-0.515327662	-0.248722936	0.18980244	-0.218041588	-0.308207802	1.421957252	-2.807271284	-1.302738688	-0.411341696	-1.449491775	-1.240480885	-1.188800961
ENSG00000160075.12	SSU72	7.207741537	7.104111154	7.012646954	6.973053986	6.650303695	6.627424658	7.236536417	6.777558771	6.865784794	6.791750083	7.15947992	7.286601059	6.959558558	7.993214626	6.485278831	6.634594608	6.918932783	6.744148678	6.726353967	6.755192248
ENSG00000215014.5	AL645728.1	0.750910639	0.463586078	-0.455850282	0.580531083	-0.442495877	0.056658053	-0.364725662	-0.151847007	-0.182319772	0.037863242	1.110182374	0.898955321	0.120409847	0.458479121	-0.245089431	0.149710686	-1.393491829	-0.191245164	-0.25652452	0.114535844
ENSG00000228594.4	FNDC10	3.122925828	2.995187049	2.509732225	2.960723799	1.948529087	2.036567841	3.098825608	2.22465978	2.349247223	2.240502022	3.585031475	3.712903876	3.005778896	4.252193504	2.086826395	2.15487619	2.742529202	2.408774743	2.247945677	2.70814665
ENSG00000272106.1	AL691432.2	1.652306734	1.725329474	1.69959514	1.968839924	1.988696654	1.533713127	2.120121527	1.6662199	1.614047452	1.791514901	1.889382501	2.091264638	1.547496947	2.599710171	1.653846187	2.0967026	1.492928893	1.732227967	1.731324573	1.296549446
ENSG00000197530.12	MIB2	4.078646871	4.371949258	3.774421059	4.357753975	3.843755241	3.754535989	4.574331134	3.950151518	3.901210172	4.09478627	4.444070791	4.37884377	4.523557135	6.624764456	4.081598936	4.404159978	4.802023445	4.055330249	4.274142517	4.217100559
ENSG00000248333.8	CDK11B	5.380734311	5.362757872	5.391252085	5.412310536	5.296933827	5.263411032	6.0208351	5.332831808	5.522526911	5.513878821	5.399337055	5.556132643	5.31483386	6.307849652	5.105180157	5.267118861	5.515998629	5.167644787	5.266761063	5.517790272
ENSG00000189339.11	SLC35E2B	6.025105874	6.211794204	5.89030642	5.967196704	5.470075617	5.506150763	6.309826953	5.754065231	5.77979967	5.76022204	6.085002857	6.161789154	5.945720995	6.765170382	5.359730659	5.496743055	5.818751616	5.633839528	5.545396411	5.500108598
ENSG00000008128.23	CDK11A	2.154364834	2.442824555	2.250812603	2.148256609	2.242330348	2.015706906	2.435537766	2.281410445	2.275386127	2.340474486	1.918455938	1.939613647	1.78323858	3.352642571	1.607193457	2.251355638	2.158575333	1.59291652	2.052438957	2.046386674
ENSG00000268575.1	AL031282.2	1.953678748	2.559145834	1.69959514	1.956046687	1.245181762	1.259831922	1.954251559	1.919633849	1.988902105	2.192664091	2.350488816	2.204482972	2.014602471	2.387070853	1.250394092	1.782960879	1.896145768	1.91881906	2.052438957	1.747580683
ENSG00000215790.7	SLC35E2A	3.863298468	4.171296505	3.664075573	3.856945626	3.300625768	3.395395527	3.992329566	3.728269279	3.531362865	3.75932827	4.132879619	3.862249913	3.821605869	4.703650642	3.124414612	3.47783517	3.789653992	3.468561297	3.497834477	3.305008157
ENSG00000008130.15	NADK	6.422628604	6.435429506	6.18533106	6.195919975	6.241038388	6.209708668	7.029882141	6.218773566	6.162943741	6.15972951	6.328505642	6.525441974	6.102272805	7.848441231	6.033274672	6.141278682	6.623591687	6.224623315	6.214907901	6.27290814
ENSG00000078369.18	GNB1	8.367882175	8.314313695	8.466298515	8.39124534	8.167526081	8.118645278	8.616946136	8.295669432	8.413645761	8.333580047	8.401311437	8.502756657	8.438390234	8.797952716	8.167473706	8.143606424	8.424280238	8.342229219	8.361938538	8.499847474
ENSG00000169885.10	CALML6	-0.267263136	-0.6941485	-1.180519433	-1.494306576	-0.851428704	-1.46298675	-0.738029791	-0.92947192	-1.572040137	-1.521025724	-0.389252034	-1.485034699	-1.605269029	0.519470092	-3.191137856	-1.302738688	-3.444293738	-2.623525077	-1.522913868	-2.855662153
ENSG00000178821.13	TMEM52	2.495282061	2.508601598	1.762153955	1.916971886	3.051625208	3.354444102	3.254145811	2.547456773	2.409679842	2.173075752	2.273818028	2.29816531	1.527661557	2.353964029	3.291096323	3.282919663	2.964633313	2.515508277	2.292946083	2.504926349
ENSG00000067606.17	PRKCZ	4.693344514	4.859208234	4.87292414	4.88037505	5.024875276	4.946814908	5.385267996	4.834729644	4.919930286	4.917338422	4.626920492	4.73559931	4.843363306	5.935104507	5.005272765	5.180501887	5.225979448	4.861072436	4.897629563	5.003536511
ENSG00000182873.5	PRKCZ-AS1	1.474167294	1.16434131	1.116710069	0.933654271	-0.124243024	-0.813803932	0.354207951	-0.269206015	0.809997635	-0.098325352	1.542453037	1.75368604	0.914814801	1.684151383	0.107548854	0.149710686	0.365377956	-0.032404505	-0.193095796	-0.277458918
ENSG00000162585.17	FAAP20	6.048507141	6.144077345	5.663276322	5.507447527	4.924909258	4.818691707	6.010305956	5.133386176	5.214854578	5.164265539	5.927669456	5.902215442	5.374350389	7.244251801	4.334033633	4.681507368	5.130666102	4.601163856	4.768161383	4.798486399
ENSG00000157933.10	SKI	7.318865064	7.392438865	7.240527943	7.442773964	8.16807278	8.15948546	8.141841053	7.783649186	7.451008274	7.523358721	7.409373954	7.461943184	7.435604574	8.529876542	8.402199854	8.398491687	8.238529541	8.256340039	7.88580346	8.018058155
ENSG00000116151.14	MORN1	4.469907597	4.71897514	4.111250422	4.171096268	3.69792678	3.580796271	4.266769182	4.209754383	4.038312558	4.041769639	4.577650081	4.423705485	4.205526056	5.182814842	3.422648605	3.684504245	4.108801915	3.906362852	3.90534601	3.872701171
ENSG00000269896.2	AL513477.1	1.076446177	1.458680919	0.60480349	0.767869898	0.228677252	0.056658053	0.901865235	0.50160407	0.397525549	0.820809409	1.932775858	1.982578818	1.507549646	2.512386571	0.746885387	0.992286785	1.405765911	0.714045963	1.131976248	1.591921046
ENSG00000157916.20	RER1	7.035747793	6.89127811	6.870805127	6.807550711	6.777561411	6.658037157	6.973745749	6.766108503	6.760467802	6.753105648	6.887226114	6.933920425	6.703561157	7.109408448	6.475030767	6.437764622	6.681562159	6.583214545	6.644080228	6.609940115
ENSG00000157911.10	PEX10	5.6065382	5.659140737	4.862254061	4.97535894	3.992741111	3.967762683	5.116173761	4.440633291	4.658715348	4.595522053	5.665751462	5.716379946	4.964502243	6.177907127	3.947583732	4.006222246	4.517593511	4.124416607	4.363872881	4.600814743
ENSG00000149527.18	PLCH2	4.265986273	4.544940233	3.384780795	3.638145035	1.543673424	1.56276618	2.427646285	2.362558322	2.369673996	2.827647153	4.490792023	4.244082934	3.676029897	5.493311064	1.385539658	1.542666131	2.076291094	1.732227967	2.259328054	1.921152984
ENSG00000157881.14	PANK4	4.871857794	4.781511693	4.894030432	4.75673127	4.470380263	4.313754176	5.22376242	4.55150317	4.760841447	4.58258803	4.611425303	4.599610895	4.513507576	5.957318243	4.081598936	4.259205934	4.550983174	4.310096877	4.39258424	4.371692859
ENSG00000197921.6	HES5	-0.625196757	-0.376597101	-0.962506577	-2.206127385	-1.572240343	-1.585136988	-0.539336986	-1.566924953	-2.137064024	-2.363551922	0.141301067	0.898955321	-0.458354135	-0.06078931	-1.286746872	0.030474667	-0.670788417	-0.369762947	-1.87443784	-1.188800961
ENSG00000238164.6	TNFRSF14-AS1	2.221789315	2.534095055	1.762153955	1.625324428	-0.124243024	-0.542304074	1.594244409	0.571539091	0.979066485	0.894427661	1.8597111	1.996620825	1.166429172	3.035227962	-0.712809529	-1.019302401	-0.334284797	-0.369762947	-0.07403723	0.170639508
ENSG00000157873.17	TNFRSF14	4.636238835	4.906336258	4.312782355	4.381868948	2.197333067	2.400706766	3.872457977	3.241207818	3.597805662	3.788586028	4.372337264	4.434061494	4.064658568	5.783281383	1.840202793	2.37887079	3.136905562	2.232228668	3.194108685	3.022056924
ENSG00000157870.16	PRXL2B	5.397494096	5.399631202	5.137652522	5.263201635	5.256377829	5.351373618	5.828968868	5.162948692	4.954149072	5.009959911	5.421085065	5.569111465	5.036450981	6.622159777	5.134262696	5.108730204	5.423342373	4.986986248	5.057758977	5.120317431
ENSG00000215912.12	TTC34	1.215259265	2.177593275	1.634200174	1.435610425	0.839382904	0.729852341	1.580074835	1.448082096	1.507471582	1.99487303	2.002317966	1.44099784	2.084153779	2.784996907	0.151563076	1.381464947	1.555010415	1.640864015	1.557816541	1.463057972
ENSG00000177133.10	LINC00982	1.489881771	1.586020007	1.017619171	0.933654271	-0.94922492	-0.971478382	0.807718302	-0.189915697	0.397525549	0.348451956	1.684621007	1.378026717	0.64709681	2.655121207	-1.543206401	-0.67725692	0.113636024	-0.191245164	-0.392415628	0.056161828
ENSG00000142611.17	PRDM16	4.159476029	4.292018128	3.743745486	3.481806541	2.33871879	2.257009345	3.854910897	3.212309558	3.11973275	3.069326168	4.294079103	4.536133019	3.908533282	5.267480471	2.548480582	2.817474095	3.754807423	3.314478012	3.52166162	3.50918617
ENSG00000130762.15	ARHGEF16	4.508991122	4.724522006	5.001661324	5.111381851	3.843755241	3.843050577	5.259766489	4.451493513	4.721649088	4.767019205	4.388011837	4.550482549	4.796474388	6.67673122	3.555539815	3.649523594	4.456557476	3.954588393	4.14816494	4.386574787
ENSG00000162591.16	MEGF6	1.2708916	2.094354948	0.854920687	1.128676381	2.06582483	2.211870067	2.451192399	1.946203675	1.821051471	2.211990026	1.844643376	1.818361137	2.150505717	3.897505202	2.651698683	2.835372351	2.777670003	2.135131985	2.460100788	2.076067292
ENSG00000158109.15	TPRG1L	5.124281981	5.06559707	5.061963532	5.189970968	5.128883481	5.279907729	5.257542367	4.925437346	5.152856118	5.033234025	5.262896327	5.348722731	5.152706151	5.315563263	5.202543003	5.194437497	5.030429722	5.000832158	5.176585886	5.164160095
ENSG00000116213.16	WRAP73	5.557979853	5.52412377	5.919763281	5.758324854	5.413409691	5.310205789	5.926690108	5.415182118	5.622726988	5.50313283	5.289568215	5.373147205	5.68981305	6.602913733	5.365582053	5.491108691	5.562077583	5.330006827	5.465342208	5.62081682
ENSG00000078900.15	TP73	4.898594177	5.131798664	5.425479587	5.531361272	4.434476048	4.569536134	5.359574958	4.900744579	4.919930286	5.160540221	5.105885981	5.406398399	5.561565176	6.63771778	4.661546883	4.730152031	5.172523801	4.876174488	4.895807401	5.160701298
ENSG00000227372.12	TP73-AS1	5.394366431	5.567978795	5.578900188	5.541031056	4.861426322	4.899202337	5.6573875	5.173294686	5.366115475	5.464375186	5.352170898	5.3182979	5.44743205	6.591419206	4.605289076	4.888547607	5.213201224	4.968315872	5.193001543	5.157234188
ENSG00000235169.8	SMIM1	-0.925158334	-0.817694355	-0.081619656	-0.58644331	-0.851428704	-0.605540714	-0.024464705	-0.587070934	-1.289852794	-0.248722936	-0.706764932	-0.763270529	-1.034068506	1.14064688	-0.971423756	-0.579161697	-1.393491829	-1.665749913	-0.25652452	-1.188800961
ENSG00000130764.10	LRRC47	6.677597326	6.663345637	6.09251936	6.152423975	5.846696789	5.852674281	6.704555102	6.018936576	6.004608096	5.884363983	6.702649977	6.786129531	6.133776944	7.750076621	5.799105264	5.760664568	6.269657424	5.966925017	5.880917492	5.992666006
ENSG00000116198.13	CEP104	6.081292491	6.117972717	6.077222333	6.119098512	6.39903895	6.276997202	6.508542397	6.127884247	6.186883324	6.170882969	6.295641761	6.271969656	6.204976955	6.773018993	6.356043537	6.493074235	6.550551017	6.293739227	6.379117735	6.426974775
ENSG00000169598.15	DFFB	4.753167162	4.615302011	4.221110788	4.070823197	3.540194933	3.333524069	3.766954612	3.438138426	3.854869732	3.814103974	4.208391376	4.284705121	3.742071777	4.376916407	3.261275239	3.425623644	3.260051195	3.230790807	3.329859467	3.536131253
ENSG00000198912.11	C1orf174	5.228650165	5.076482354	5.152325216	4.90720821	4.779839595	4.823200988	5.244125151	4.729035391	4.942264599	4.840259804	5.213901139	5.249601661	5.083064054	5.194550666	4.831835344	4.774893066	4.86464781	4.804305066	4.928259315	4.932299144
ENSG00000236423.5	LINC01134	-0.495764716	0.353338045	0.911216998	0.244117778	-0.442495877	-0.423584095	-0.024464705	0.268821179	0.397525549	0.769557102	-0.189927129	-0.353975114	0.222646278	1.101288654	-1.286746872	0.091324155	-0.334284797	-0.687334998	0.668658292	-0.068188675
ENSG00000131697.18	NPHP4	5.079545952	5.205049244	5.011351898	5.088118424	5.388604687	5.347204934	5.996368799	5.249945083	5.061636903	5.187638424	4.990836316	5.132076033	4.923345575	6.475953659	5.294975505	5.574729825	5.638140977	5.193998571	5.197446312	5.294545508
ENSG00000069424.14	KCNAB2	3.167578339	3.365518354	2.744753269	2.881749956	2.467476877	2.610031964	3.05851259	2.322554853	2.115249604	2.474538534	3.457128275	3.750679273	3.02712782	4.385133221	2.79734289	2.995169593	2.777670003	2.784566504	2.80890713	2.935650667
ENSG00000116251.11	RPL22	7.09410198	7.023718427	6.888440804	6.960298229	6.690434624	6.827339495	6.193066439	6.790752656	6.70779012	6.799356288	6.97719417	6.929809845	6.807978716	5.561965673	6.653992218	6.520990859	6.410647188	6.654290871	6.621103833	6.521693089
ENSG00000158286.13	RNF207	5.101448184	5.376916204	4.25956588	4.30828	3.172800143	2.486598524	4.474452977	4.057629314	4.085385934	4.130771742	4.956206437	4.376160894	3.904693613	4.922679967	1.826691843	2.625102679	3.601445232	2.877553402	3.388051463	2.95175072
ENSG00000116237.16	ICMT	7.083783861	7.14242873	7.341933235	7.45220007	7.052862881	7.159384101	7.080145114	6.974343782	7.186430836	7.194968352	7.206647553	7.308577349	7.377226848	6.832815427	7.07198157	6.981073431	6.937988364	6.972098041	7.050919865	7.191258748
